CALL_ID,TIMESTAMP,CALL_LENGTH,PHONE_NUMBERS
AUIO2544,Sat Aug 04 16:10:29 EDT 1984,46,157-089-1159597|000-699-2972537
QMNY2198,Sat May 12 17:05:38 EDT 1979,281,556-206-6472197|157-089-1159597
JVUQ5899,Thu Oct 22 01:19:36 EDT 1981,263,452-400-6023258|928-618-6022384
YFZS9257,Tue May 12 08:11:48 EDT 2020,216,452-400-6023258|148-757-6582249
QOTM6378,Sat Sep 05 03:06:12 EDT 1970,219,810-634-0039046|418-364-0653421
LLLP9108,Wed Jan 27 01:36:59 EDT 1971,375,000-699-2972537|556-206-6472197
QTCQ6800,Sat Nov 29 15:01:35 EDT 2003,73,157-089-1159597|000-699-2972537
PNSG8983,Fri Sep 27 13:29:42 EDT 1974,352,518-052-2121645|157-089-1159597
CUTB1176,Wed Jan 11 00:47:58 EDT 1984,528,000-699-2972537|157-089-1159597|810-634-0039046
FKYP1741,Thu Mar 16 08:27:17 EDT 2017,545,928-618-6022384|000-699-2972537
JBUQ9313,Fri Apr 13 09:07:40 EDT 1973,325,810-634-0039046|418-364-0653421
OXDN3467,Tue Sep 22 00:34:53 EDT 2009,482,556-206-6472197|148-757-6582249
DFVD2854,Mon Apr 12 14:50:52 EDT 2004,210,452-400-6023258|556-206-6472197
AFTC9304,Wed Jan 27 01:36:59 EDT 1971,544,928-618-6022384|000-699-2972537
MGQP8092,Fri Jul 08 23:32:32 EDT 2022,42,810-634-0039046|928-618-6022384
